,ind_code,discription
692,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %)
693,NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP)
694,NY.GDP.MKTP.KD.ZG,GDP growth (annual %)
695,NY.GDP.MKTP.CD,GDP (current US$)
696,NY.GDP.FCST.KD,Gross value added at basic prices (GVA) (constant 2015 US$)
697,NY.GDP.DISC.CN,Discrepancy in expenditure estimate of GDP (current LCU)
698,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)"
699,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)"
700,NY.ADJ.NNTY.PC.KD,Adjusted net national income per capita (constant 2015 US$)
701,NY.ADJ.NNTY.CD,Adjusted net national income (current US$)
702,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
703,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
704,NY.ADJ.DKAP.CD,Adjusted savings: consumption of fixed capital (current US$)
705,NY.ADJ.DCO2.CD,Adjusted savings: carbon dioxide damage (current US$)
706,NV.SRV.TOTL.KN,"Services, value added (constant LCU)"
707,NV.SRV.TOTL.CD,"Services, value added (current US$)"
708,NV.MNF.OTHR.ZS.UN,Other manufacturing (% of value added in manufacturing)
709,NV.IND.TOTL.ZS,"Industry (including construction), value added (% of GDP)"
710,NV.IND.TOTL.CN,"Industry (including construction), value added (current LCU)"
711,NV.IND.MANF.KD.ZG,"Manufacturing, value added (annual % growth)"
712,NV.IND.EMPL.KD,"Industry (including construction), value added per worker (constant 2015 US$)"
713,EN.GHG.CO2.IP.MT.CE.AR5,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)
714,EN.GHG.CO2.AG.MT.CE.AR5,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)
715,EN.GHG.CH4.PI.MT.CE.AR5,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)
716,EN.GHG.CH4.FE.MT.CE.AR5,Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)
717,EN.GHG.ALL.MT.CE.AR5,Total greenhouse gas emissions excluding LULUCF (Mt CO2e)
718,EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best)
719,EN.ATM.PM25.MC.T2.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)"
720,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita)
721,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use)
722,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption)
723,EG.ELC.PETR.ZS,Electricity production from oil sources (% of total)
724,EG.ELC.HYRO.ZS,Electricity production from hydroelectric sources (% of total)
725,EG.ELC.ACCS.UR.ZS,"Access to electricity, urban (% of urban population)"
726,EG.CFT.ACCS.UR.ZS,"Access to clean fuels and technologies for cooking, urban (% of urban population)"
727,DT.TDS.DPPG.XP.ZS,"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)"
728,DT.TDS.DIMF.CD,"IMF repurchases and charges (TDS, current US$)"
729,DT.ODA.ODAT.XP.ZS,Net ODA received (% of central government expense)
730,DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI)
731,DT.ODA.OATL.CD,Net official aid received (current US$)
732,DT.NFL.WHOL.CD,"Net official flows from UN agencies, WHO (current US$)"
733,DT.NFL.UNTA.CD,"Net official flows from UN agencies, UNTA (current US$)"
734,DT.NFL.UNID.CD,"Net official flows from UN agencies, UNIDIR (current US$)"
735,DT.NFL.UNDP.CD,"Net official flows from UN agencies, UNDP (current US$)"
736,EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)"
737,EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)"
738,EG.ELC.NUCL.ZS,Electricity production from nuclear sources (% of total)
739,EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)"
740,EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)"
741,EG.CFT.ACCS.RU.ZS,"Access to clean fuels and technologies for cooking, rural (% of rural population)"
742,DT.TDS.DPPG.GN.ZS,Public and publicly guaranteed debt service (% of GNI)
743,DT.TDS.DECT.GN.ZS,Total debt service (% of GNI)
744,DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$)
745,DT.ODA.ODAT.GI.ZS,Net ODA received (% of gross capital formation)
746,DT.ODA.ALLD.KD,Net official development assistance and official aid received (constant 2021 US$)
747,DT.NFL.WFPG.CD,"Net official flows from UN agencies, WFP (current US$)"
748,DT.NFL.UNRW.CD,"Net official flows from UN agencies, UNRWA (current US$)"
749,DT.NFL.UNFP.CD,"Net official flows from UN agencies, UNFPA (current US$)"
750,DT.NFL.UNCV.CD,"Net official flows from UN agencies, UNCOVID (current US$)"
751,DT.NFL.UNCD.CD,"Net official flows from UN agencies, UNCDF (current US$)"
752,DT.NFL.RDBN.CD,"Net financial flows, RDB nonconcessional (NFL, current US$)"
753,DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)"
754,DT.NFL.PBND.CD,"PPG, bonds (NFL, current US$)"
755,DT.NFL.MLAT.CD,"Net financial flows, multilateral (NFL, current US$)"
756,DT.NFL.IMFC.CD,"Net financial flows, IMF concessional (NFL, current US$)"
757,BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows (BoP, current US$)"
758,BM.GSR.ROYL.CD,"Charges for the use of intellectual property, payments (BoP, current US$)"
759,BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)"
760,AG.YLD.CREL.KG,Cereal yield (kg per hectare)
761,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100)
762,AG.LND.TOTL.K2,Land area (sq. km)
763,AG.LND.FRST.K2,Forest area (sq. km)
764,AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area)
765,AG.LND.ARBL.ZS,Arable land (% of land area)
766,AG.LND.AGRI.K2,Agricultural land (sq. km)
767,SL.UEM.NEET.MA.ZS,"Share of youth not in education, employment or training, male (% of male youth population)"
768,SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education)
769,SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)"
770,SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)"
771,SL.UEM.1524.MA.NE.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)"
772,SL.TLF.TOTL.FE.ZS,"Labor force, female (% of total labor force)"
773,SL.TLF.INTM.ZS,Labor force with intermediate education (% of total working-age population with intermediate education)
774,SL.TLF.CACT.NE.ZS,"Labor force participation rate, total (% of total population ages 15+) (national estimate)"
775,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate)
776,SL.TLF.BASC.MA.ZS,"Labor force with basic education, male (% of male working-age population with basic education)"
777,SL.TLF.ADVN.FE.ZS,"Labor force with advanced education, female (% of female working-age population with advanced education)"
778,SL.TLF.ACTI.1524.ZS,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)"
779,SL.TLF.ACTI.1524.FE.ZS,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)"
780,SL.TLF.0714.WK.TM,"Average working hours of children, working only, ages 7-14 (hours per week)"
781,SL.TLF.0714.WK.FE.TM,"Average working hours of children, working only, female, ages 7-14 (hours per week)"
782,SL.TLF.0714.SW.MA.TM,"Average working hours of children, study and work, male, ages 7-14 (hours per week)"
783,SL.TLF.0714.FE.ZS,"Children in employment, female (% of female children ages 7-14)"
784,SL.SRV.0714.ZS,Child employment in services (% of economically active children ages 7-14)
785,SL.SLF.0714.MA.ZS,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)"
786,SL.MNF.0714.FE.ZS,"Child employment in manufacturing, female (% of female economically active children ages 7-14)"
787,SL.GDP.PCAP.EM.KD,GDP per person employed (constant 2021 PPP $)
788,SL.FAM.0714.ZS,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)"
789,SL.EMP.WORK.MA.ZS,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)"
790,SL.EMP.VULN.FE.ZS,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)"
791,SL.EMP.TOTL.SP.MA.NE.ZS,"Employment to population ratio, 15+, male (%) (national estimate)"
792,SL.EMP.SELF.ZS,"Self-employed, total (% of total employment) (modeled ILO estimate)"
793,SL.EMP.MPYR.MA.ZS,"Employers, male (% of male employment) (modeled ILO estimate)"
794,SL.EMP.1524.SP.MA.ZS,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)"
795,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment) (modeled ILO estimate)
796,SL.AGR.0714.MA.ZS,"Child employment in agriculture, male (% of male economically active children ages 7-14)"
797,SI.SPR.PCAP,"Survey mean consumption or income per capita, total population (2017 PPP $ per day)"
798,SI.RMT.COST.IB.ZS,Average transaction cost of sending remittances to a specific country (%)
799,SI.POV.NAHC,Poverty headcount ratio at national poverty lines (% of population)
800,SI.POV.LMIC,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)
801,SI.DST.FRST.20,Income share held by lowest 20%
802,SI.DST.05TH.20,Income share held by highest 20%
803,SH.XPD.PVTD.PP.CD,"Domestic private health expenditure per capita, PPP (current international $)"
804,SH.XPD.OOPC.PC.CD,Out-of-pocket expenditure per capita (current US$)
805,SH.XPD.GHED.GE.ZS,Domestic general government health expenditure (% of general government expenditure)
806,SH.XPD.EHEX.PC.CD,External health expenditure per capita (current US$)
807,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP)
808,SH.UHC.TOT1.ZS,Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
809,SH.UHC.NOPR.ZS,Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%)
810,SH.UHC.FBP2.ZS,Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)
811,SH.TBS.CURE.ZS,Tuberculosis treatment success rate (% of new cases)
812,SH.STA.WAST.ZS,"Prevalence of wasting, weight for height (% of children under 5)"
813,SH.STA.TRAF.P5,"Mortality caused by road traffic injury (per 100,000 population)"
814,SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)"
815,SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population)
816,SH.STA.POIS.P5.FE,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)"
817,SH.STA.OWGH.MA.ZS,"Prevalence of overweight, weight for height, male (% of children under 5)"
818,SH.STA.ODFC.ZS,People practicing open defecation (% of population)
819,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
820,SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population)
821,SH.STA.DIAB.ZS,Diabetes prevalence (% of population ages 20 to 79)
822,SH.STA.MMRT.NE,"Maternal mortality ratio (national estimate, per 100,000 live births)"
823,SH.STA.MALN.FE.ZS,"Prevalence of underweight, weight for age, female (% of children under 5)"
824,SH.STA.FGMS.ZS,Female genital mutilation prevalence (%)
825,SH.STA.BFED.ZS,Exclusive breastfeeding (% of children under 6 months)
826,SH.STA.ARIC.ZS,ARI treatment (% of children under 5 taken to a health provider)
827,SH.STA.AIRP.FE.P5,"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)"
828,SH.PRV.SMOK.MA,"Prevalence of current tobacco use, males (% of male adults)"
829,SH.MMR.RISK.ZS,Lifetime risk of maternal death (%)
830,SH.MLR.NETS.ZS,Use of insecticide-treated bed nets (% of under-5 population)
831,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)"
832,SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)"
833,SH.HIV.INCD.YG.P3,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)"
834,SH.HIV.INCD.14,Children (ages 0-14) newly infected with HIV
835,SH.HIV.1524.FE.ZS,"Prevalence of HIV, female (% ages 15-24)"
836,SH.H2O.SMDW.RU.ZS,"People using safely managed drinking water services, rural (% of rural population)"
837,SH.FPL.SATM.ZS,Demand for family planning satisfied by modern methods (% of married women with demand for family planning)
838,SH.DYN.NCOM.FE.ZS,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)"
839,SH.DYN.AIDS.ZS,"Prevalence of HIV, total (% of population ages 15-49)"
840,SH.DYN.1014,"Probability of dying among adolescents ages 10-14 years (per 1,000)"
841,SH.DTH.MORT,Number of under-five deaths
842,SH.DTH.2024,Number of deaths ages 20-24 years
843,SH.CON.1524.MA.ZS,"Condom use, population ages 15-24, male (% of males ages 15-24)"
844,SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49)
845,SG.VAW.REFU.ZS,Women who believe a husband is justified in beating his wife when she refuses sex with him (%)
846,SG.VAW.BURN.ZS,Women who believe a husband is justified in beating his wife when she burns the food (%)
847,SG.TIM.UWRK.FE,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)"
848,SG.DMK.ALLD.FN.ZS,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
849,SE.XPD.TERT.PC.ZS,"Government expenditure per student, tertiary (% of GDP per capita)"
850,SE.XPD.PRIM.PC.ZS,"Government expenditure per student, primary (% of GDP per capita)"
851,SE.XPD.CPRM.ZS,"Current education expenditure, primary (% of total expenditure in primary public institutions)"
852,SE.TER.ENRR,"School enrollment, tertiary (% gross)"
853,SE.TER.CUAT.ST.FE.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"
854,SE.TER.CUAT.DO.ZS,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)"
855,SE.TER.CUAT.BA.MA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)"
856,SE.SEC.UNER.LO.FE.ZS,"Adolescents out of school, female (% of female lower secondary school age)"
857,SE.SEC.TCAQ.ZS,Trained teachers in secondary education (% of total teachers)
858,SE.SEC.TCAQ.MA.ZS,"Trained teachers in secondary education, male (% of male teachers)"
859,SE.SEC.TCAQ.FE.ZS,"Trained teachers in secondary education, female (% of female teachers)"
860,SE.SEC.PRIV.ZS,"School enrollment, secondary, private (% of total secondary)"
861,SE.SEC.ENRR.MA,"School enrollment, secondary, male (% gross)"
862,SE.SEC.ENRL.VO,"Secondary education, vocational pupils"
863,SE.SEC.ENRL.GC.FE.ZS,"Secondary education, general pupils (% female)"
864,SE.SEC.DURS,"Secondary education, duration (years)"
865,SE.SEC.CUAT.PO.ZS,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)"
866,SE.SEC.CUAT.LO.MA.ZS,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"
867,SE.SEC.CMPT.LO.FE.ZS,"Lower secondary completion rate, female (% of relevant age group)"
868,SE.PRM.UNER.MA,"Children out of school, primary, male"
869,SE.PRM.TENR.MA,"Adjusted net enrollment rate, primary, male (% of primary school age children)"
870,SE.PRM.TCHR,"Primary education, teachers"
871,SE.PRM.REPT.ZS,"Repeaters, primary, total (% of total enrollment)"
872,SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)"
873,SE.PRM.PRS5.FE.ZS,"Persistence to grade 5, female (% of cohort)"
874,SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)"
875,SE.PRM.NENR.MA,"School enrollment, primary, male (% net)"
876,SE.PRM.GINT.MA.ZS,"Gross intake ratio in first grade of primary education, male (% of relevant age group)"
877,SE.PRM.ENRR,"School enrollment, primary (% gross)"
878,SE.PRM.DURS,"Primary education, duration (years)"
879,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)"
880,SE.PRE.TCAQ.ZS,Trained teachers in preprimary education (% of total teachers)
881,SE.PRE.ENRR.FE,"School enrollment, preprimary, female (% gross)"
882,SE.LPV.PRIM.SD.MA,Male primary school age children out-of-school (%)
883,SE.LPV.PRIM.LD.MA,Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold
884,SE.LPV.PRIM,Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)
885,SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)"
886,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)"
887,SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)"
888,IC.EXP.TMDC,"Time to export, documentary compliance (hours)"
889,IC.ELC.TIME,Time required to get electricity (days)
890,IC.CUS.DURS.EX,Average time to clear exports through customs (days)
891,IC.BUS.NREG,New businesses registered (number)
892,IC.BUS.DFRN.XQ,Ease of doing business score (0 = lowest performance to 100 = best performance)
893,HD.HCI.OVRL.MA,"Human capital index (HCI), male (scale 0-1)"
894,HD.HCI.OVRL.FE,"Human capital index (HCI), female (scale 0-1)"
895,GE.PER.RNK.UPPER,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval"
896,GE.EST,Government Effectiveness: Estimate
897,GC.XPN.TOTL.CN,Expense (current LCU)
898,GC.XPN.INTP.RV.ZS,Interest payments (% of revenue)
899,GC.XPN.COMP.ZS,Compensation of employees (% of expense)
900,GC.TAX.YPKG.CN,"Taxes on income, profits and capital gains (current LCU)"
901,GC.TAX.OTHR.CN,Other taxes (current LCU)
902,GC.TAX.IMPT.CN,Customs and other import duties (current LCU)
903,GC.TAX.EXPT.ZS,Taxes on exports (% of tax revenue)
904,GC.REV.SOCL.ZS,Social contributions (% of revenue)
905,GC.NLD.TOTL.GD.ZS,Net lending (+) / net borrowing (-) (% of GDP)
906,GC.LBL.TOTL.GD.ZS,"Net incurrence of liabilities, total (% of GDP)"
907,GC.AST.TOTL.GD.ZS,Net acquisition of financial assets (% of GDP)
908,FX.OWN.TOTL.YG.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)"
909,FX.OWN.TOTL.MA.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)"
910,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP)
911,FR.INR.RISK,"Risk premium on lending (lending rate minus treasury bill rate, %)"
912,FR.INR.DPST,Deposit interest rate (%)
913,FM.LBL.BMNY.ZG,Broad money growth (annual %)
914,FM.AST.PRVT.ZG.M3,Claims on private sector (annual growth as % of broad money)
915,FM.AST.DOMO.ZG.M3,Claims on other sectors of the domestic economy (annual growth as % of broad money)
916,FI.RES.TOTL.DT.ZS,Total reserves (% of total external debt)
917,FB.CBK.DPTR.P3,"Depositors with commercial banks (per 1,000 adults)"
918,FB.ATM.TOTL.P5,"Automated teller machines (ATMs) (per 100,000 adults)"
919,ER.LND.PTLD.ZS,Terrestrial protected areas (% of total land area)
920,ER.H2O.FWTL.K3,"Annual freshwater withdrawals, total (billion cubic meters)"
921,ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
922,ER.FSH.AQUA.MT,Aquaculture production (metric tons)
923,EN.URB.LCTY,Population in largest city
924,EN.POP.EL5M.RU.ZS,Rural population living in areas where elevation is below 5 meters (% of total population)
925,EN.GHG.TOT.ZG.AR5,Total greenhouse gas emissions excluding LULUCF (% change from 1990)
926,EN.GHG.N2O.PI.MT.CE.AR5,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)
927,EN.GHG.N2O.FE.MT.CE.AR5,Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)
928,EN.GHG.CO2.ZG.AR5,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990)
929,EN.GHG.CO2.RT.GDP.KD,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
930,EN.GHG.CO2.LU.OS.MT.CE.AR5,Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e)
931,EN.GHG.CO2.LU.DF.MT.CE.AR5,Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e)
932,EN.GHG.CO2.BU.MT.CE.AR5,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)
933,EN.GHG.CH4.TR.MT.CE.AR5,Methane (CH4) emissions from Transport (Energy) (Mt CO2e)
934,EN.GHG.CH4.IC.MT.CE.AR5,Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e)
935,EN.GHG.ALL.PC.CE.AR5,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)
936,DT.NFL.SPRP.CD,"Net official flows from UN agencies, SPRP (current US$)"
937,DT.NFL.PRVT.CD,"PPG, private creditors (NFL, US$)"
938,DT.NFL.PCBO.CD,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)"
939,DT.NFL.NIFC.CD,"IFC, private nonguaranteed (NFL, US$)"
940,DT.NFL.MIBR.CD,"Net financial flows, IBRD (NFL, current US$)"
941,DT.NFL.IFAD.CD,"Net official flows from UN agencies, IFAD (current US$)"
942,DT.NFL.CERF.CD,"Net official flows from UN agencies, CERF (current US$)"
943,DT.DOD.PVLX.EX.ZS,"Present value of external debt (% of exports of goods, services and primary income)"
944,DT.DOD.MIBR.CD,"PPG, IBRD (DOD, current US$)"
945,DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)"
946,DT.DOD.DIMF.CD,"Use of IMF credit (DOD, current US$)"
947,DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)"
948,DC.DAC.USAL.CD,"Net bilateral aid flows from DAC donors, United States (current US$)"
949,DC.DAC.SVKL.CD,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)"
950,DC.DAC.NORL.CD,"Net bilateral aid flows from DAC donors, Norway (current US$)"
951,DC.DAC.KORL.CD,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)"
952,DC.DAC.IRLL.CD,"Net bilateral aid flows from DAC donors, Ireland (current US$)"
953,DC.DAC.FRAL.CD,"Net bilateral aid flows from DAC donors, France (current US$)"
954,VC.IDP.TOCV,"Internally displaced persons, total displaced by conflict and violence (number of people)"
955,VA.STD.ERR,Voice and Accountability: Standard Error
956,VA.NO.SRC,Voice and Accountability: Number of Sources
957,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports)
958,TX.VAL.MRCH.XD.WD,Export value index (2015 = 100)
959,TX.VAL.MRCH.R6.ZS,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)
960,TX.VAL.MRCH.R2.ZS,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)
961,TX.VAL.MRCH.CD.WT,Merchandise exports (current US$)
962,TX.VAL.INSF.ZS.WT,Insurance and financial services (% of commercial service exports)
963,TX.VAL.AGRI.ZS.UN,Agricultural raw materials exports (% of merchandise exports)
964,TT.PRI.MRCH.XD.WD,Net barter terms of trade index (2015 = 100)
965,TM.VAL.OTHR.ZS.WT,"Computer, communications and other services (% of commercial service imports)"
966,TM.VAL.MRCH.RS.ZS,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)"
967,TM.VAL.MRCH.R3.ZS,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)
968,TM.VAL.MRCH.HI.ZS,Merchandise imports from high-income economies (% of total merchandise imports)
969,TM.VAL.MANF.ZS.UN,Manufactures imports (% of merchandise imports)
970,TM.VAL.FOOD.ZS.UN,Food imports (% of merchandise imports)
971,TM.TAX.TCOM.WM.AR.ZS,"Tariff rate, applied, weighted mean, primary products (%)"
972,TM.TAX.TCOM.IP.ZS,"Share of tariff lines with international peaks, primary products (%)"
973,TM.TAX.MRCH.WM.AR.ZS,"Tariff rate, applied, weighted mean, all products (%)"
974,TM.TAX.MRCH.IP.ZS,"Share of tariff lines with international peaks, all products (%)"
975,TM.TAX.MANF.WM.AR.ZS,"Tariff rate, applied, weighted mean, manufactured products (%)"
976,TM.TAX.MANF.IP.ZS,"Share of tariff lines with international peaks, manufactured products (%)"
977,TG.VAL.TOTL.GD.ZS,Merchandise trade (% of GDP)
978,ST.INT.TVLR.CD,"International tourism, receipts for travel items (current US$)"
979,ST.INT.RCPT.CD,"International tourism, receipts (current US$)"
980,SP.URB.TOTL.IN.ZS,Urban population (% of total population)
981,SP.RUR.TOTL.ZG,Rural population growth (annual %)
982,SP.REG.BRTH.UR.ZS,"Completeness of birth registration, urban (%)"
983,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)"
984,SP.POP.TOTL,"Population, total"
985,SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
986,SP.POP.80UP.MA.5Y,"Population ages 80 and above, male (% of male population)"
987,SP.POP.7074.MA.5Y,"Population ages 70-74, male (% of male population)"
988,SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)"
989,SP.POP.6569.MA.5Y,"Population ages 65-69, male (% of male population)"
990,SP.POP.5559.MA.5Y,"Population ages 55-59, male (% of male population)"
991,SP.POP.4549.MA.5Y,"Population ages 45-49, male (% of male population)"
992,SP.POP.3539.MA.5Y,"Population ages 35-39, male (% of male population)"
993,SP.POP.2529.MA.5Y,"Population ages 25-29, male (% of male population)"
994,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population)
995,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)"
996,SP.POP.1014.MA.5Y,"Population ages 10-14, male (% of male population)"
997,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population)
998,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)"
999,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)
1000,SP.DYN.WFRT,Wanted fertility rate (births per woman)
1001,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)"
1002,SP.DYN.IMRT.IN,"Mortality rate, infant (per 1,000 live births)"
1003,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)"
1004,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
1005,SN.ITK.MSFI.ZS,Prevalence of moderate or severe food insecurity in the population (%)
1006,SM.POP.REFG.OR,Refugee population by country or territory of origin
1007,SL.WAG.0714.MA.ZS,"Children in employment, wage workers, male (% of male children in employment, ages 7-14)"
1008,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)"
1009,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
1010,SL.UEM.NEET.FE.ZS,"Share of youth not in education, employment or training, female (% of female youth population)"
1011,SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)"
1012,SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education)
1013,SL.UEM.1524.NE.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)"
1014,SL.UEM.1524.FE.NE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)"
1015,SL.TLF.PART.MA.ZS,"Part time employment, male (% of total male employment)"
1016,SL.TLF.INTM.FE.ZS,"Labor force with intermediate education, female (% of female working-age population with intermediate education)"
1017,SL.TLF.CACT.MA.NE.ZS,"Labor force participation rate, male (% of male population ages 15+) (national estimate)"
1018,SL.TLF.CACT.FE.NE.ZS,"Labor force participation rate, female (% of female population ages 15+) (national estimate)"
1019,SL.TLF.ADVN.ZS,Labor force with advanced education (% of total working-age population with advanced education)
1020,SL.TLF.ACTI.MA.ZS,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)"
1021,SL.TLF.ACTI.1524.MA.ZS,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)"
